Paper,Authors
The FAIR Principles - First Generation Implementation Choices and Challenges.,"[Barend Mons,Annika Jacobsen,Erik Schultes,Fenghong Liu]"
Taking FAIR on the ChIN - The Chemistry Implementation Network.,"[Simon J. Coles,Jeremy G. Frey,Egon L. Willighagen,Stuart J. Chalk]"
Comments to Jean-Claude Burgelman's article Politics and Open Science - How the European Open Science Cloud Became Reality (the Untold Story).,"[Peter Wittenburg,George O. Strawn,Dimitris Koureas]"
FAIR Data and Services in Biodiversity Science and Geoscience.,"[Larry Lannom,Dimitris Koureas,Alex R. Hardisty]"
The Need of Industry to Go FAIR.,"[Luiz Olavo Bonino da Silva Santos,Martijn G. Kersloot,Christine R. Kirkpatrick]"
Editors' Note.,"[Peter Wittenburg,George O. Strawn]"
Considerations for the Conduction and Interpretation of FAIRness Evaluations.,"[Ricardo de Miranda Azevedo,Michel Dumontier]"
The FAIR Funding Model - Providing a Framework for Research Funders to Drive the Transition toward FAIR Data Management and Stewardship Practices.,"[Margreet Bloemers,Annalisa Montesanti]"
Licensing FAIR Data for Reuse.,"[Ignasi Labastida,Thomas Margoni]"
From Persistent Identifiers to Digital Objects to Make Data Science More Efficient.,[Peter Wittenburg]
Open Science and Data Science.,[Peter Wittenburg]
Open Science and the Hype Cycle.,[George O. Strawn]
FAIR Science for Social Machines - Let's Share Metadata Knowlets in the Internet of FAIR Data and Services.,[Barend Mons]
A Journal for Human and Machine.,[Barend Mons]
"Comments to Jean-Claude Burgelman's article Politics and Open Science - How the European Open Science Cloud Became Reality (the Untold Story) - ""EOSC is a bigger ME"" and the Dunning Kruger effect.",[Barend Mons]
"Ontology, Ontologies and the ""I"" of FAIR.",[Giancarlo Guizzardi]
