author,title,volumeEdition,year,journalConference
Xiaodi Huang,NGD - Filtering Graphs for Visual Analysis.,"IEEE Trans. Big Data,vol.4-3",2018,IEEE Trans. Big Data
Ahmet Iscen,Memory Vectors for Similarity Search in High-Dimensional Spaces.,"IEEE Trans. Big Data,vol.4-1",2018,IEEE Trans. Big Data
Yuxuan Jiang 0001,Towards Max-Min Fair Resource Allocation for Stream Big Data Analytics in Shared Clouds.,"IEEE Trans. Big Data,vol.4-1",2018,IEEE Trans. Big Data
Katina Kralevska,HashTag Erasure Codes - From Theory to Practice.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Kun Kuang,Effective Promotional Strategies Selection in Social Media - A Data-Driven Approach.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Po-Shen Lee,Viziometrics - Analyzing Visual Information in the Scientific Literature.,"IEEE Trans. Big Data,vol.4-1",2018,IEEE Trans. Big Data
Yuhong Li,Mining the Most Influential k-Location Set from Massive Trajectories.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Zhuozhao Li,Analysis of Knowledge Sharing Activities on a Social Network Incorporated Discussion Forum - A Case Study of DISboards.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Yuhua Lin,SmartQ - A Question and Answer System for Supplying High-Quality and Trustworthy Answers.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Huazhong Liu,Thermal-Aware and DVFS-Enabled Big Data Task Scheduling for Data Centers.,"IEEE Trans. Big Data,vol.4-2",2018,IEEE Trans. Big Data
Yuhang Liu,CaL - Extending Data Locality to Consider Concurrency for Performance Optimization.,"IEEE Trans. Big Data,vol.4-2",2018,IEEE Trans. Big Data
Xiao-Yang Liu,LS-Decomposition for Robust Recovery of Sensory Big Data.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Zhaojie Niu,JouleMR - Towards Cost-Effective and Green-Aware Data Processing Frameworks.,"IEEE Trans. Big Data,vol.4-2",2018,IEEE Trans. Big Data
Lianyong Qi,Structural Balance Theory-Based E-Commerce Recommendation over Big Rating Data.,"IEEE Trans. Big Data,vol.4-3",2018,IEEE Trans. Big Data
Sergio Salinas 0001,Efficient Secure Outsourcing of Large-Scale Sparse Linear Systems of Equations.,"IEEE Trans. Big Data,vol.4-1",2018,IEEE Trans. Big Data
Rami Sellami,Complex Queries Optimization and Evaluation over Relational and NoSQL Data Stores in Cloud Environments.,"IEEE Trans. Big Data,vol.4-2",2018,IEEE Trans. Big Data
Zhenfeng Shao,Smart Monitoring Cameras Driven Intelligent Processing to Big Surveillance Video Data.,"IEEE Trans. Big Data,vol.4-1",2018,IEEE Trans. Big Data
Weiwei Shi 0002,Effective Prediction of Missing Data on Apache Spark over Multivariable Time Series.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Hong-Han Shuai,QMSampler - Joint Sampling of Multiple Networks with Quality Guarantee.,"IEEE Trans. Big Data,vol.4-1",2018,IEEE Trans. Big Data
Peng Sun 0006,MetaFlow - A Scalable Metadata Lookup Service for Distributed File Systems in Data Centers.,"IEEE Trans. Big Data,vol.4-2",2018,IEEE Trans. Big Data
Zhiqiang Wan,A Generative Model for Sparse Hyperparameter Determination.,"IEEE Trans. Big Data,vol.4-1",2018,IEEE Trans. Big Data
Bo Wang,Accelerating MapReduce on Commodity Clusters - An SSD-Empowered Approach.,"IEEE Trans. Big Data,vol.4-3",2018,IEEE Trans. Big Data
Yongzhi Wang,MtMR - Ensuring MapReduce Computation Integrity with Merkle Tree-Based Verifications.,"IEEE Trans. Big Data,vol.4-3",2018,IEEE Trans. Big Data
Xiaokang Wang,A Big Data-as-a-Service Framework - State-of-the-Art and Perspectives.,"IEEE Trans. Big Data,vol.4-3",2018,IEEE Trans. Big Data
Jun Wang 0001,Speed Up Big Data Analytics by Unveiling the Storage Distribution of Sub-Datasets.,"IEEE Trans. Big Data,vol.4-2",2018,IEEE Trans. Big Data
Thu Yein Win,Big Data Based Security Analytics for Protecting Virtualized Infrastructures in Cloud Computing.,"IEEE Trans. Big Data,vol.4-1",2018,IEEE Trans. Big Data
Jun Wu 0001,Big Data Analysis-Based Security Situational Awareness for Smart Grid.,"IEEE Trans. Big Data,vol.4-3",2018,IEEE Trans. Big Data
Dongyao Wu,HDM - A Composable Framework for Big Data Processing.,"IEEE Trans. Big Data,vol.4-2",2018,IEEE Trans. Big Data
Jian-Sheng Wu,Euler Clustering on Large-Scale Dataset.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Zheng Xu 0001,"From Latency, Through Outbreak, to Decline - Detecting Different States of Emergency Events Using Web Resources.","IEEE Trans. Big Data,vol.4-2",2018,IEEE Trans. Big Data
Wenzhuo Xue,Secure k Nearest Neighbors Query for High-Dimensional Vectors in Outsourced Environments.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Qiang Yang 0001,State of the Journal Editorial.,"IEEE Trans. Big Data,vol.3-1",2017,IEEE Trans. Big Data
Qiang Yang 0001,State of the Journal Editorial.,"IEEE Trans. Big Data,vol.4-1",2018,IEEE Trans. Big Data
Yaqiang Yao,Human Activity Recognition with Posture Tendency Descriptors on Action Snippets.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Peng Zhang 0006,QuantCloud - Big Data Infrastructure for Quantitative Finance on the Cloud.,"IEEE Trans. Big Data,vol.4-3",2018,IEEE Trans. Big Data
Liang Zhao 0005,Distributed Feature Selection for Efficient Economic Big Data Analysis.,"IEEE Trans. Big Data,vol.4-2",2018,IEEE Trans. Big Data
Julie Yixuan Zhu,pg-Causality - Identifying Spatiotemporal Causal Pathways for Air Pollutants with Urban Big Data.,"IEEE Trans. Big Data,vol.4-4",2018,IEEE Trans. Big Data
Santa Agreste,An Empirical Comparison of Algorithms to Find Communities in Directed Graphs and Their Application in Web Data Analytics.,"IEEE Trans. Big Data,vol.3-3",2017,IEEE Trans. Big Data
Emre Çelikten,Modeling Urban Behavior by Mining Geotagged Social Data.,"IEEE Trans. Big Data,vol.3-2",2017,IEEE Trans. Big Data
Yu Chan,A Distributed Stream Library for Java 8.,"IEEE Trans. Big Data,vol.3-3",2017,IEEE Trans. Big Data
Ke Chen 0004,Learning to Classify Fine-Grained Categories with Privileged Visual-Semantic Misalignment.,"IEEE Trans. Big Data,vol.3-1",2017,IEEE Trans. Big Data
Zhiyong Chen,Retrieving Objects by Partitioning.,"IEEE Trans. Big Data,vol.3-1",2017,IEEE Trans. Big Data
Pravin Chopade,A Framework for Community Detection in Large Networks Using Game-Theoretic Modeling.,"IEEE Trans. Big Data,vol.3-3",2017,IEEE Trans. Big Data
Subhajit Datta,The Habits of Highly Effective Researchers - An Empirical Study.,"IEEE Trans. Big Data,vol.3-1",2017,IEEE Trans. Big Data
Ye Ding,Detecting and Analyzing Urban Regions with High Impact of Weather Change on Transport.,"IEEE Trans. Big Data,vol.3-2",2017,IEEE Trans. Big Data
Preeti Goel,Optimal Pick up Point Selection for Effective Ride Sharing.,"IEEE Trans. Big Data,vol.3-2",2017,IEEE Trans. Big Data
Mohammad-Parsa Hosseini,Optimized Deep Learning for EEG Big Data and Seizure Prediction BCI via Internet of Things.,"IEEE Trans. Big Data,vol.3-4",2017,IEEE Trans. Big Data
Tianran Hu,Tales of Two Cities - Using Social Media to Understand Idiosyncratic Lifestyles in Distinctive Metropolitan Areas.,"IEEE Trans. Big Data,vol.3-1",2017,IEEE Trans. Big Data
Shan Jiang 0004,Activity-Based Human Mobility Patterns Inferred from Mobile Phone Data - A Case Study of Singapore.,"IEEE Trans. Big Data,vol.3-2",2017,IEEE Trans. Big Data
Truc Viet Le,Local Gaussian Processes for Efficient Fine-Grained Traffic Speed Prediction.,"IEEE Trans. Big Data,vol.3-2",2017,IEEE Trans. Big Data
Mingzhong Li,Debugging Object Tracking by a Recommender System with Correction Propagation.,"IEEE Trans. Big Data,vol.3-4",2017,IEEE Trans. Big Data
Yu-Ru Lin,Guest Editorial - Big Scholar Data Discovery and Collaboration.,"IEEE Trans. Big Data,vol.2-1",2016,IEEE Trans. Big Data
Yu-Ru Lin,Guest Editorial - Big Scholar Data Discovery and Collaboration.,"IEEE Trans. Big Data,vol.3-1",2017,IEEE Trans. Big Data
Anan Liu,Mitosis Detection in Phase Contrast Microscopy Image Sequences of Stem Cell Populations - A Critical Review.,"IEEE Trans. Big Data,vol.3-4",2017,IEEE Trans. Big Data
Feng Liu 0011,Graph Regularized EEG Source Imaging with In-Class Consistency and Out-Class Discrimination.,"IEEE Trans. Big Data,vol.3-4",2017,IEEE Trans. Big Data
Min Lu 0002,Visual Analysis of Multiple Route Choices Based on General GPS Trajectories.,"IEEE Trans. Big Data,vol.3-2",2017,IEEE Trans. Big Data
Hoang Nguyen 0002,Discovering Congestion Propagation Patterns in Spatio-Temporal Traffic Data.,"IEEE Trans. Big Data,vol.3-2",2017,IEEE Trans. Big Data
Weizhi Nie,Modeling Temporal Information of Mitotic for Mitotic Event Detection.,"IEEE Trans. Big Data,vol.3-4",2017,IEEE Trans. Big Data
Masayo Ota,STaRS - Simulating Taxi Ride Sharing at Scale.,"IEEE Trans. Big Data,vol.3-3",2017,IEEE Trans. Big Data
Angkoon Phinyomark,Resting-State fMRI Functional Connectivity - Big Data Preprocessing Pipelines and Topological Data Analysis.,"IEEE Trans. Big Data,vol.3-4",2017,IEEE Trans. Big Data
Somwrita Sarkar,Effective Urban Structure Inference from Traffic Flow Dynamics.,"IEEE Trans. Big Data,vol.3-2",2017,IEEE Trans. Big Data
Haiying Shen,SocialQ&A - An Online Social Network Based Question and Answer System.,"IEEE Trans. Big Data,vol.3-1",2017,IEEE Trans. Big Data
Subhajit Sidhanta,Adaptable SLA-Aware Consistency Tuning for Quorum-Replicated Datastores.,"IEEE Trans. Big Data,vol.3-3",2017,IEEE Trans. Big Data
Dinesh Singh 0001,DiP-SVM - Distribution Preserving Kernel Support Vector Machine for Big Data.,"IEEE Trans. Big Data,vol.3-1",2017,IEEE Trans. Big Data
Xun Tang,Significant Linear Hotspot Discovery.,"IEEE Trans. Big Data,vol.3-2",2017,IEEE Trans. Big Data
Yongchao Tian,DiNoDB - An Interactive-Speed Query Engine for Ad-Hoc Queries on Temporary Data.,"IEEE Trans. Big Data,vol.3-3",2017,IEEE Trans. Big Data
Jingdong Wang 0001,"Guest Editorial - Big Media Data - Understanding, Search, and Mining.","IEEE Trans. Big Data,vol.2-1",2016,IEEE Trans. Big Data
Jingdong Wang 0001,"Guest Editorial - Big Media Data - Understanding, Search, and Mining.","IEEE Trans. Big Data,vol.3-1",2017,IEEE Trans. Big Data
Jingdong Wang 0001,"Guest Editorial - Big Media Data - Understanding, Search, and Mining.","IEEE Trans. Big Data,vol.1-3",2015,IEEE Trans. Big Data
Bo Wu 0010,Exploiting Efficient Densest Subgraph Discovering Methods for Big Data.,"IEEE Trans. Big Data,vol.3-3",2017,IEEE Trans. Big Data
Feng Xia 0001,Big Scholarly Data - A Survey.,"IEEE Trans. Big Data,vol.3-1",2017,IEEE Trans. Big Data
Desheng Zhang,Taxi-Passenger-Demand Modeling Based on Big Data from a Roving Sensor Network.,"IEEE Trans. Big Data,vol.3-3",2017,IEEE Trans. Big Data
Guoshuai Zhao,Service Rating Prediction by Exploring Social Mobile Users' Geographical Locations.,"IEEE Trans. Big Data,vol.3-1",2017,IEEE Trans. Big Data
Dongfang Zhao 0001,Toward Efficient and Flexible Metadata Indexing of Big Data Systems.,"IEEE Trans. Big Data,vol.3-1",2017,IEEE Trans. Big Data
Yu Zheng,Guest Editorial - Urban Computing.,"IEEE Trans. Big Data,vol.3-2",2017,IEEE Trans. Big Data
Jun Zhu 0001,"Special Issue on Biomedical Big Data - Understanding, Learning and Applications.","IEEE Trans. Big Data,vol.3-4",2017,IEEE Trans. Big Data
Xiaofeng Zhu 0001,Low-Rank Graph-Regularized Structured Sparse Regression for Identifying Genetic Biomarkers.,"IEEE Trans. Big Data,vol.3-4",2017,IEEE Trans. Big Data
Julie Yixuan Zhu,An Extended Spatio-Temporal Granger Causality Model for Air Quality Estimation with Heterogeneous Urban Big Data.,"IEEE Trans. Big Data,vol.3-3",2017,IEEE Trans. Big Data
Pablo Basanta-Val,Architecting Time-Critical Big-Data Systems.,"IEEE Trans. Big Data,vol.2-4",2016,IEEE Trans. Big Data
Neha Bharill,Fuzzy Based Scalable Clustering Algorithms for Handling Big Data Using Apache Spark.,"IEEE Trans. Big Data,vol.2-4",2016,IEEE Trans. Big Data
Hong-Mei Chen,Agile Big Data Analytics for Web-Based Systems - An Architecture-Centric Approach.,"IEEE Trans. Big Data,vol.2-3",2016,IEEE Trans. Big Data
Subhajit Datta,How Long Will This Live? Discovering the Lifespans of Software Engineering Ideas.,"IEEE Trans. Big Data,vol.2-2",2016,IEEE Trans. Big Data
Yuxiao Dong,Can Scientific Impact Be Predicted?,"IEEE Trans. Big Data,vol.2-1",2016,IEEE Trans. Big Data
Le Dong,A Hierarchical Distributed Processing Framework for Big Image Data.,"IEEE Trans. Big Data,vol.2-4",2016,IEEE Trans. Big Data
Dorit S. Hochbaum,Sparse Computation for Large-Scale Data Mining.,"IEEE Trans. Big Data,vol.2-2",2016,IEEE Trans. Big Data
Masahiko Itoh,Visual Exploration of Changes in Passenger Flows and Tweets on Mega-City Metro Network.,"IEEE Trans. Big Data,vol.2-1",2016,IEEE Trans. Big Data
Shuhui Jiang,Personalized Travel Sequence Recommendation on Multi-Source Big Social Media.,"IEEE Trans. Big Data,vol.2-1",2016,IEEE Trans. Big Data
Yu-Gang Jiang,Partial Copy Detection in Videos - A Benchmark and an Evaluation of Popular Methods.,"IEEE Trans. Big Data,vol.2-1",2016,IEEE Trans. Big Data
Farhan Khan,Universal Nonlinear Regression on High Dimensional Data Using Adaptive Hierarchical Trees.,"IEEE Trans. Big Data,vol.2-2",2016,IEEE Trans. Big Data
Dmitry Kit,Efficient Image Geotagging Using Large Databases.,"IEEE Trans. Big Data,vol.2-4",2016,IEEE Trans. Big Data
Teng Li,Performance Modeling and Predictive Scheduling for Distributed Stream Data Processing.,"IEEE Trans. Big Data,vol.2-4",2016,IEEE Trans. Big Data
Yu-Ru Lin,Guest Editorial - Special Issue on Big Scholar Data Discovery and Collaboration (Continued).,"IEEE Trans. Big Data,vol.2-2",2016,IEEE Trans. Big Data
Seyed Morteza Nabavinejad,The Memory Challenge in Reduce Phase of MapReduce Applications.,"IEEE Trans. Big Data,vol.2-4",2016,IEEE Trans. Big Data
Erte Pan,Analyzing Big Smart Metering Data Towards Differentiated User Services - A Sublinear Approach.,"IEEE Trans. Big Data,vol.2-3",2016,IEEE Trans. Big Data
Hideyuki Shamoto,GPU-Accelerated Large-Scale Distributed Sorting Coping with Device Memory Capacity.,"IEEE Trans. Big Data,vol.2-1",2016,IEEE Trans. Big Data
Wei Shao 0006,Clustering Big Spatiotemporal-Interval Data.,"IEEE Trans. Big Data,vol.2-3",2016,IEEE Trans. Big Data
Ming Shao,Scalable Nearest Neighbor Sparse Graph Approximation by Exploiting Graph Structure.,"IEEE Trans. Big Data,vol.2-4",2016,IEEE Trans. Big Data
Quan Z. Sheng,Guest Editorial - Big Data Analytics and the Web.,"IEEE Trans. Big Data,vol.1-4",2015,IEEE Trans. Big Data
Quan Z. Sheng,Guest Editorial - Big Data Analytics and the Web.,"IEEE Trans. Big Data,vol.2-3",2016,IEEE Trans. Big Data
Michael Sheng 0001,Guest Editorial - Big Data Analytics and the Web.,"IEEE Trans. Big Data,vol.1-4",2015,IEEE Trans. Big Data
Michael Sheng 0001,Guest Editorial - Big Data Analytics and the Web.,"IEEE Trans. Big Data,vol.2-3",2016,IEEE Trans. Big Data
Suppawong Tuarob,AlgorithmSeer - A System for Extracting and Searching for Algorithms in Scholarly Big Data.,"IEEE Trans. Big Data,vol.2-1",2016,IEEE Trans. Big Data
Liang Wang 0009,Kvasir - Scalable Provision of Semantically Relevant Web Content on Big Data Framework.,"IEEE Trans. Big Data,vol.2-3",2016,IEEE Trans. Big Data
Xinyu Wang 0020,USTF - A Unified System of Team Formation.,"IEEE Trans. Big Data,vol.2-1",2016,IEEE Trans. Big Data
Jevin D. West,A Recommendation System Based on Hierarchical Clustering of an Article-Level Citation Network.,"IEEE Trans. Big Data,vol.2-2",2016,IEEE Trans. Big Data
Lingfei Wu,Towards Real-Time Detection and Tracking of Spatio-Temporal Features - Blob-Filaments in Fusion Plasma.,"IEEE Trans. Big Data,vol.2-3",2016,IEEE Trans. Big Data
Feng Xia 0001,Scientific Article Recommendation - Exploiting Common Author Relations and Historical Preferences.,"IEEE Trans. Big Data,vol.2-2",2016,IEEE Trans. Big Data
Zheng Yan 0002,Deduplication on Encrypted Big Data in Cloud.,"IEEE Trans. Big Data,vol.2-2",2016,IEEE Trans. Big Data
Yue Zhao 0014,A Distributed Graph-Parallel Computing System with Lightweight Communication Overhead.,"IEEE Trans. Big Data,vol.2-3",2016,IEEE Trans. Big Data
Yixian Zheng,Visual Analytics in Urban Computing - An Overview.,"IEEE Trans. Big Data,vol.2-3",2016,IEEE Trans. Big Data
Long Cheng 0003,Scale-Out Processing of Large RDF Datasets.,"IEEE Trans. Big Data,vol.1-4",2015,IEEE Trans. Big Data
Stephen P. Crago,Welcome to the IEEE Transactions on Big Data.,"IEEE Trans. Big Data,vol.1-1",2015,IEEE Trans. Big Data
Richang Hong,Learning Visual Semantic Relationships for Efficient Visual Retrieval.,"IEEE Trans. Big Data,vol.1-4",2015,IEEE Trans. Big Data
Xia Hu,Embracing Information Explosion without Choking - Clustering and Labeling in Microblogging.,"IEEE Trans. Big Data,vol.1-1",2015,IEEE Trans. Big Data
Siyuan Liu,SMC - A Practical Schema for Privacy-Preserved Data Sharing over Distributed Data Streams.,"IEEE Trans. Big Data,vol.1-2",2015,IEEE Trans. Big Data
Xinmei Tian 0001,Exploration of Image Search Results Quality Assessment.,"IEEE Trans. Big Data,vol.1-3",2015,IEEE Trans. Big Data
Jingdong Wang 0001,"Guest Editorial - Big Media Data - Understanding, Search, and Mining (Part 2).","IEEE Trans. Big Data,vol.1-4",2015,IEEE Trans. Big Data
Fei Wu 0001,Weakly Semi-Supervised Deep Learning for Multi-Label Image Annotation.,"IEEE Trans. Big Data,vol.1-3",2015,IEEE Trans. Big Data
Eric P. Xing,Petuum - A New Platform for Distributed Machine Learning on Big Data.,"IEEE Trans. Big Data,vol.1-2",2015,IEEE Trans. Big Data
Qiang Yang 0001,Introduction to the IEEE Transactions on Big Data.,"IEEE Trans. Big Data,vol.1-1",2015,IEEE Trans. Big Data
Yang Yang 0002,Robust Discrete Spectral Hashing for Large-Scale Image Semantic Indexing.,"IEEE Trans. Big Data,vol.1-4",2015,IEEE Trans. Big Data
Shu Zhang,Code Consistent Hashing Based on Information-Theoretic Criterion.,"IEEE Trans. Big Data,vol.1-3",2015,IEEE Trans. Big Data
Feng Zhao 0003,LS-AMS - An Adaptive Indexing Structure for Realtime Search on Microblogs.,"IEEE Trans. Big Data,vol.1-4",2015,IEEE Trans. Big Data
Yu Zheng,Methodologies for Cross-Domain Data Fusion - An Overview.,"IEEE Trans. Big Data,vol.1-1",2015,IEEE Trans. Big Data
Ilyas Ashkir,3D object recognition for Virtual Reality based Digital Twins.,BDCAT-2021,2021,BDCAT
Changhao Bai,PRRL - Path Rotation based Knowledge Graph Representation Learning method.,BDCAT-2021,2021,BDCAT
Aimer Bhat,Evaluating Serverless Architecture for Big Data Enterprise Applications.,BDCAT-2021,2021,BDCAT
Sheriffo Ceesay,Benchmarking and Performance Modelling of Dataflow with Cycles.,BDCAT-2021,2021,BDCAT
Wenhan Gao,Attribute Network Embedding Method based on Joint Clustering of Representation and Network.,BDCAT-2021,2021,BDCAT
Amirmasoud Ghiassi,TrustNet - Learning from Trusted Data Against (A)symmetric Label Noise.,BDCAT-2021,2021,BDCAT
Zuo Huang,Crowd Counting Using Deep Learning in Edge Devices.,BDCAT-2021,2021,BDCAT
Barjinder Kaur,Verification Based Scheme to Restrict IoT Attacks.,BDCAT-2021,2021,BDCAT
Maxim Priymak,Real-Time Traffic Classification through Deep Learning.,BDCAT-2021,2021,BDCAT
Kshitij Sinha,Comparative Analysis of Pre-Trained Deep Neural Networks for Vision-Based Security Systems on a Novel Dataset.,BDCAT-2021,2021,BDCAT
Richard O. Sinnott,Linking User Accounts across Social Media Platforms.,BDCAT-2021,2021,BDCAT
Menuka Warushavithana,Distributed Orchestration of Regression Models Over Administrative Boundaries.,BDCAT-2021,2021,BDCAT
Yuanhang Xu,Multiscale Clustering Based Diffusion Representation Learning Method.,BDCAT-2021,2021,BDCAT
Zihan Yang,Individual Feral Cat Identification through Deep Learning.,BDCAT-2021,2021,BDCAT
Guoyi Zhao,A Proactive Data-Parallel Framework for Machine Learning.,BDCAT-2021,2021,BDCAT
Samara Banno,Automated Cognitive Analyses for Intelligent Tutoring Systems.,BDCAT-2020,2020,BDCAT
Kevin Bruhwiler,"Iris - Amortized, Resource Efficient Visualizations of Voluminous Spatiotemporal Datasets.",BDCAT-2020,2020,BDCAT
Walid Budgaga,"Concerto - Leveraging Ensembles for Timely, Accurate Model Training Over Voluminous Datasets.",BDCAT-2020,2020,BDCAT
Sheriffo Ceesay,A Survey - Benchmarking and Performance Modelling of Data Intensive Applications.,BDCAT-2020,2020,BDCAT
Tirana Noor Fatyanosa,Effects of the Number of Hyperparameters on the Performance of GA-CNN.,BDCAT-2020,2020,BDCAT
Hongwei Jin,Simulating Aggregation Algorithms for Empirical Verification of Resilient and Adaptive Federated Learning.,BDCAT-2020,2020,BDCAT
Md. Riftabin Kabir,A satellite collision avoidance system based on General Regression Neural Network.,BDCAT-2020,2020,BDCAT
Jovan Kalajdjieski,Attention Models for PM2.5 Prediction.,BDCAT-2020,2020,BDCAT
Anang Kunaefi,Characterizing User Decision based on Argumentative Reviews.,BDCAT-2020,2020,BDCAT
Mingxin Lu,AGAMI - Scalable Visual Analytics over Multidimensional Data Streams.,BDCAT-2020,2020,BDCAT
Abdulla Kalandar Mohideen,A Data Indexing Technique to Improve the Search Latency of AND Queries for Large Scale Textual Documents.,BDCAT-2020,2020,BDCAT
Maryleen U. Ndubuaku,Edge-enhanced analytics via latent space dimensionality reduction.,BDCAT-2020,2020,BDCAT
Chris Christos Nikolopoulos,Calculating the Topological Resilience of Supply Chain Networks Using Hopfield Neural Networks.,BDCAT-2020,2020,BDCAT
Deng Pan,Deepfake Detection through Deep Learning.,BDCAT-2020,2020,BDCAT
Tyler Petty,Evaluating Deep Learning Algorithms for Real-Time Arrhythmia Detection.,BDCAT-2020,2020,BDCAT
Sijan S. Rana,A Multi-Modal Deep Learning Approach to the Early Prediction of Mild Cognitive Impairment Conversion to Alzheimer's Disease.,BDCAT-2020,2020,BDCAT
Danielle Turvill,A Survey of Interpretability of Machine Learning in Accelerator-based High Energy Physics.,BDCAT-2020,2020,BDCAT
Muhammad Sadiq Hassan Zada,Large-scale Data Integration Using Graph Probabilistic Dependencies (GPDs).,BDCAT-2020,2020,BDCAT
Xinyu Zheng,Enabling Precise Control of a Haptic Device - A Machine Learning Approach.,BDCAT-2020,2020,BDCAT
Samuel Armstrong,"Rapid, Progressive Sub-Graph Explorations for Interactive Visual Analytics over Large-Scale Graph Datasets.",BDCAT-2019,2019,BDCAT
Lu Chen,Identification and Classification of Trucks and Trailers on the Road Network through Deep Learning.,BDCAT-2019,2019,BDCAT
Marianne Cherrington,"Feature Selection Methods for Linked Data - Limitations, Capabilities and Potentials.",BDCAT-2019,2019,BDCAT
Priyanthi M. Dassanayake,A Deep Reinforcement Learning based Homeostatic System for Unmanned Position Control.,BDCAT-2019,2019,BDCAT
